R,a,delta,F,R_a,delta_a,F_Eah
3,30,82.54769075,193.1704844,0.1,0.275158969,0.020232572
3,30,83.04706116,194.8847775,0.1,0.276823537,0.020412126
3,30,83.53766444,206.3594114,0.1,0.278458881,0.021613973
3,30,84.04221925,201.1169508,0.1,0.280140731,0.021064881
3,30,84.54063448,204.2960485,0.1,0.281802115,0.021397858
3,30,85.03094951,215.0605387,0.1,0.283436498,0.022525325
3,30,85.53623278,209.4891619,0.1,0.285120776,0.021941782
3,30,86.03157149,213.8202701,0.1,0.286771905,0.02239542
3,30,86.5226637,223.66619,0.1,0.288408879,0.023426676
3,30,87.02781499,217.935767,0.1,0.290092717,0.022826475
3,30,87.5226468,223.7214689,0.1,0.291742156,0.023432466
3,30,88.01487378,232.5142643,0.1,0.293382913,0.024353419
3,30,88.52033363,226.2592391,0.1,0.295067779,0.023698271
3,30,89.01404153,234.8380047,0.1,0.296713472,0.024596806
3,30,89.50875413,240.646807,0.1,0.298362514,0.025205217
3,30,90.01238537,235.1277203,0.1,0.300041285,0.024627151
3,30,90.50278174,246.5764697,0.1,0.301675939,0.025826286
3,30,91.00290403,247.9232198,0.1,0.303343013,0.025967344
3,30,91.50460656,245.2827709,0.1,0.305015355,0.025690785
3,30,91.9913076,258.6153321,0.1,0.306637692,0.02708723
3,30,92.49461221,254.8999177,0.1,0.308315374,0.02669808
3,30,92.99192343,257.2327403,0.1,0.309973078,0.026942418
3,30,93.48121245,269.1653732,0.1,0.311604042,0.028192236
3,30,93.98721546,262.2564672,0.1,0.313290718,0.027468601
3,30,94.48008606,270.9850417,0.1,0.31493362,0.028382827
3,30,94.97394936,277.2972701,0.1,0.316579831,0.029043966
3,30,95.47837841,272.0634142,0.1,0.318261261,0.028495775
3,30,95.9677506,284.8917757,0.1,0.319892502,0.029839411
3,30,96.46777413,283.5591836,0.1,0.321559247,0.029699836
3,30,96.96768286,285.5035597,0.1,0.32322561,0.029903489
3,30,97.45790516,297.1487588,0.1,0.324859684,0.031123201
3,30,97.96153016,290.8760459,0.1,0.326538434,0.0304662
3,30,98.45557819,300.5984242,0.1,0.328185261,0.031484517
3,30,98.95034178,305.4123163,0.1,0.329834473,0.031988721
3,30,99.45393231,302.1253522,0.1,0.331513108,0.031644446
3,30,99.94379974,315.6378637,0.1,0.333145999,0.03305974
3,30,100.4463698,311.0867762,0.1,0.334821233,0.032583061
3,30,100.9422796,318.2096468,0.1,0.336474265,0.033329107
3,30,101.4351011,325.8821065,0.1,0.338117004,0.034132716
3,30,101.9399648,321.1295636,0.1,0.339799883,0.033634937
3,30,102.430475,334.8928543,0.1,0.341434917,0.035076497
3,30,102.930593,331.9977887,0.1,0.343101977,0.034773269
3,30,103.4299139,337.2335427,0.1,0.34476638,0.035321659
3,30,103.9209854,346.4222502,0.1,0.346403285,0.03628408
3,30,104.426045,341.1307933,0.1,0.348086817,0.035729855
3,30,104.9177603,355.676655,0.1,0.349725868,0.037253381
3,30,105.4188058,351.702139,0.1,0.351396019,0.036837092
3,30,105.9163031,358.9622258,0.1,0.353054344,0.03759751
3,30,106.4089538,365.7550326,0.1,0.354696513,0.038308985
3,30,106.9126968,363.3264721,0.1,0.356375656,0.038054619
3,30,107.4042925,376.3059595,0.1,0.358014308,0.039414083
3,30,107.9062033,372.2587545,0.1,0.359687344,0.038990181
3,30,108.4021144,381.7560547,0.1,0.361340381,0.039984923
3,30,108.8972735,385.5269684,0.1,0.362990912,0.040379887
3,30,109.4009746,386.0378064,0.1,0.364669915,0.040433392
3,30,109.8919248,398.5868193,0.1,0.366306416,0.041747768
3,30,110.3956424,393.6437631,0.1,0.367985475,0.041230035
3,30,110.8887641,406.0438919,0.1,0.369629214,0.042528818
3,30,111.3877414,404.2760087,0.1,0.371292471,0.042343651
3,30,111.8870606,412.009989,0.1,0.372956869,0.043153704
